,Shares,Cost(Euro/share),Profit(% post 2 years)
38803,Share-pfyxDo,946.6,19
38804,Share-YBeeqe,836.8,13
38805,Share-HL0Nok,78.9,5
38806,Share-OEBESd,682.6,18
38807,Share-SsVuyZ,574.1,9
38808,Share-smOQYK,987.8,12
38809,Share-SjHACE,999.9,3
38810,Share-mnQAKC,532.5,17
38811,Share-q0dlyV,798.8,19
38812,Share-m0erXP,107.1,12
38813,Share-WC4zLy,447.2,4
38814,Share-zT6zHQ,853.7,9
38815,Share-FzR19k,925.4,13
38816,Share-4JTCta,273.2,3
38817,Share-0Yoxez,372.6,1
38818,Share-TPeP1m,258.9,9
38819,Share-6qA1jr,299.8,5
38820,Share-rbyllm,839.8,15
38821,Share-qgmf4Q,674.9,9
38822,Share-5ndj5M,246.2,1
38823,Share-XBNvge,356.9,7
38824,Share-ncNTT6,296.3,12
38825,Share-fIHo8b,152.3,10
38826,Share-Hwuspw,876.7,14
38827,Share-2bZooZ,187.7,6
38828,Share-923y8p,213.5,16
38829,Share-FwhniX,199.1,16
38830,Share-wYNRal,835.7,6
38831,Share-0vvqyb,999.5,6
38832,Share-VEbFUd,940.9,10
38833,Share-WeuxHp,75.0,5
38834,Share-zpZes7,526.1,12
38835,Share-iObnzC,694.4,4
38836,Share-yyA0PG,80.2,14
38837,Share-cYbObW,878.8,18
38838,Share-ikRWp0,952.9,4
38839,Share-nEHnZq,109.6,7
38840,Share-W8O313,933.6,10
38841,Share-TDBM3P,873.1,5
38842,Share-f2lt4E,64.2,4
38843,Share-9Ls5qY,559.1,7
38844,Share-aLycbY,271.4,9
38845,Share-xf3Hm6,948.6,8
38846,Share-fWz01d,626.2,15
38847,Share-TWGdRs,121.3,14
38848,Share-Ub53mj,291.3,9
38849,Share-DDoHXP,6.2,19
38850,Share-D8exAp,444.6,6
38851,Share-XUJnIx,710.7,11
38852,Share-8OMYKd,192.0,5
38853,Share-xLM85v,132.7,15
38854,Share-l3zAVz,240.7,1
38855,Share-8Ul8Zn,829.0,10
38856,Share-joQcsS,329.9,18
38857,Share-SlqUUe,573.5,7
38858,Share-14qrUn,356.0,19
38859,Share-QWfobd,703.5,17
38860,Share-T9i87X,208.5,7
38861,Share-VpbVu6,779.1,8
38862,Share-PQOUUR,949.4,5
38863,Share-EaBEdU,321.2,14
38864,Share-opqRhe,604.4,12
38865,Share-GBrCQk,489.5,14
38866,Share-lJvQkj,573.7,11
38867,Share-2IaBpY,760.5,7
38868,Share-1UCo0N,653.0,9
38869,Share-M6TryC,732.6,13
38870,Share-NIrbvi,407.2,10
38871,Share-t3Mi4d,305.7,5
38872,Share-p1rKKH,64.6,5
38873,Share-KVm63v,299.5,15
38874,Share-UiE4PG,775.9,6
38875,Share-JaUsPb,446.8,19
38876,Share-WxA0Qr,518.2,5
38877,Share-A8SC5u,337.8,2
38878,Share-kn8cSa,367.3,1
38879,Share-ZV8jz9,417.4,10
38880,Share-ekMkVi,923.5,7
38881,Share-caw15C,199.1,3
38882,Share-xyvurj,413.2,6
38883,Share-RrcvFf,37.8,3
38884,Share-UorZbz,588.3,12
38885,Share-lMpHdy,17.3,12
38886,Share-TJo6Q8,943.0,16
38887,Share-7uhg3t,156.9,11
38888,Share-WYT0ny,742.8,9
38889,Share-apM0fh,148.9,7
38890,Share-njxkyH,658.7,2
38891,Share-tfVPE9,22.0,19
38892,Share-uMtrJA,306.1,2
38893,Share-hlr1BH,723.2,14
38894,Share-6aqaGU,967.4,5
38895,Share-PJ24Uo,488.5,1
38896,Share-KswClu,623.1,11
38897,Share-zT5Gyz,641.5,17
38898,Share-JVSkiL,711.2,4
38899,Share-ksfSOa,373.8,16
38900,Share-SlOzRG,863.5,12
38901,Share-vOVXH6,22.7,1
38902,Share-m6BKR7,864.1,19
38903,Share-YNpHOQ,319.1,14
38904,Share-PMlpmG,109.4,9
38905,Share-mK2lGx,497.9,16
38906,Share-0poT2T,654.3,14
38907,Share-eHSdjj,69.6,10
38908,Share-PbauwU,801.4,10
38909,Share-aNjC5q,481.2,12
38910,Share-D4BnuR,120.1,6
38911,Share-IpIqxe,950.6,18
38912,Share-ZwoUwV,481.2,9
38913,Share-W4Jpdx,603.5,8
38914,Share-FnfrWC,364.7,14
38915,Share-Si6Cyb,453.6,2
38916,Share-eOaMjl,105.0,5
38917,Share-8hm3XU,28.8,13
38918,Share-NXKSGj,475.6,13
38919,Share-NYMQgT,987.5,2
38920,Share-vS21Pf,109.7,12
38921,Share-GPlvgR,536.7,17
38922,Share-1C2xAQ,466.0,13
38923,Share-yeCn3M,263.5,9
38924,Share-kbShpR,14.2,4
38925,Share-npIDgx,704.8,15
38926,Share-2I2yao,419.0,3
38927,Share-rC23x2,991.6,19
38928,Share-YeAbfa,223.1,14
38929,Share-VOMv6V,107.0,13
38930,Share-p324wZ,503.1,9
38931,Share-pMSShU,127.4,8
38932,Share-z1EOzM,799.9,12
38933,Share-DeXrig,160.4,12
38934,Share-PpPbUv,44.9,3
38935,Share-Wt21Ja,47.3,10
38936,Share-Ph9SWR,30.5,3
38937,Share-rKhKcG,353.3,19
38938,Share-lKuxES,127.0,15
38939,Share-g84kjT,735.1,1
38940,Share-2CbuGu,988.5,3
38941,Share-VBNoDW,809.6,6
38942,Share-hTpZMh,568.5,10
38943,Share-Pv8zCF,163.4,16
38944,Share-ADUnld,639.1,5
38945,Share-aZXq6L,726.6,12
38946,Share-FnkofT,938.0,15
38947,Share-nueUgN,509.4,8
38948,Share-oM6wgs,190.9,13
38949,Share-WpF8v6,595.9,8
38950,Share-SEF9Df,348.2,4
38951,Share-LUVGq1,747.6,3
38952,Share-hinad5,801.3,7
38953,Share-R87Gkr,386.2,16
38954,Share-eYU8Wa,626.5,18
38955,Share-I7IAtU,9.1,15
38956,Share-5giPBL,370.0,8
38957,Share-IseCHK,5.3,4
38958,Share-ZV4Ka6,953.6,18
38959,Share-23KPOb,24.1,19
38960,Share-6VBZnB,532.4,12
38961,Share-cMRUNF,158.9,2
38962,Share-yMp0Ne,272.5,5
38963,Share-pIxfYt,804.7,12
38964,Share-ntubQi,62.5,9
38965,Share-7lSMgG,288.7,16
38966,Share-4fTkz5,487.9,6
38967,Share-vTHwW7,467.5,12
38968,Share-FFMcCx,303.0,2
38969,Share-pzPAMU,531.7,4
38970,Share-2PATfN,896.4,12
38971,Share-eAbWio,288.2,13
38972,Share-xYiRIt,692.6,11
38973,Share-5BvYUN,231.8,10
38974,Share-MlH40O,691.2,18
38975,Share-IdMQyJ,391.9,6
38976,Share-ARPEIi,762.4,14
38977,Share-kXh1S0,718.3,5
38978,Share-6IFCOj,212.0,8
38979,Share-mGdQhY,490.2,3
38980,Share-yRwBfU,238.7,13
38981,Share-DOnvci,337.6,3
38982,Share-cx5PrE,742.0,9
38983,Share-jrFd9d,757.6,1
38984,Share-SQkLyQ,392.0,6
38985,Share-xZdBKt,584.1,9
38986,Share-Y6zAzi,189.0,18
38987,Share-uDwqtl,144.7,3
38988,Share-STJzIR,767.6,19
38989,Share-si1ILb,734.1,11
38990,Share-GYQyjI,393.4,3
38991,Share-jCXKU8,185.2,6
38992,Share-FTKdZW,818.7,2
38993,Share-ieCwnZ,169.2,15
38994,Share-GKWd5Z,686.6,16
38995,Share-HZB5oH,352.3,15
38996,Share-ULP5pA,538.2,13
38997,Share-wNMP0K,810.0,14
38998,Share-0tbYy0,345.0,17
38999,Share-xLBVkR,285.2,3
39000,Share-4pEcLy,280.9,8
39001,Share-FHpqfs,34.9,6
39002,Share-VyhViF,333.2,13
39003,Share-Tg1ECl,892.4,4
39004,Share-ppiwhn,838.2,7
39005,Share-KTEOaf,586.0,6
39006,Share-hH4zcR,540.3,15
39007,Share-3mLkQo,916.0,8
39008,Share-xzRxli,268.5,4
39009,Share-xTqASk,206.5,18
39010,Share-wtt1zX,331.9,15
39011,Share-jmXTLt,974.3,10
39012,Share-1CR41P,338.8,13
39013,Share-H0O28B,740.4,9
39014,Share-gAD9v2,350.6,12
39015,Share-O4dB8Z,376.4,19
39016,Share-JEyD3g,424.4,5
39017,Share-8m5Q9o,981.3,4
39018,Share-Pqru7Z,461.0,15
39019,Share-NKaupT,610.1,10
39020,Share-EkDSBj,22.5,1
39021,Share-qbyCge,410.1,1
39022,Share-akwJ1I,388.0,15
39023,Share-pkjazj,147.1,2
39024,Share-lGnka2,344.1,9
39025,Share-tmpBAN,700.0,12
39026,Share-J7J8kn,67.0,14
39027,Share-8a76cG,465.0,1
39028,Share-IzomnI,255.9,17
39029,Share-zWcwb6,796.2,9
39030,Share-839HSK,613.8,6
39031,Share-riT8wu,557.8,12
39032,Share-ROdKIx,770.6,2
39033,Share-tX9WmE,24.9,16
39034,Share-RLA2dL,341.5,12
39035,Share-E9ove7,598.3,19
39036,Share-zj8gw7,91.7,3
39037,Share-gg6xEl,587.8,19
39038,Share-MZv4GU,659.5,6
39039,Share-WHYHDi,825.9,5
39040,Share-Je2JyA,927.1,3
39041,Share-3WnkCB,528.5,15
39042,Share-OUkuPI,856.8,19
39043,Share-vA7wxx,763.3,3
39044,Share-Wc1BKL,804.4,19
39045,Share-vyL8Gp,168.2,6
39046,Share-ETuIgf,810.3,16
39047,Share-y9gpBX,145.9,9
39048,Share-9PUD5B,672.2,8
39049,Share-VQQ9vc,195.3,11
39050,Share-V33Nbj,203.7,17
39051,Share-WAz0C0,487.3,11
39052,Share-TulYYa,749.4,17
39053,Share-TvOHeO,604.2,4
39054,Share-xajSZb,784.5,18
39055,Share-cWQv62,800.2,19
39056,Share-ZHeAOo,290.3,11
39057,Share-KQYMws,159.0,5
39058,Share-DR6BLx,284.8,16
39059,Share-awzXmm,682.7,2
39060,Share-cpqOxD,736.4,18
39061,Share-kJw9vY,28.9,14
39062,Share-GZSsWM,76.1,10
39063,Share-t7z3St,153.3,11
39064,Share-UI64Sl,475.2,18
39065,Share-1Pohu6,61.6,10
39066,Share-6MSouL,822.9,1
39067,Share-VbQbQD,916.8,9
39068,Share-9otDlg,634.5,16
39069,Share-c6xalm,205.3,15
39070,Share-8dX3hB,854.6,14
39071,Share-thKgpF,669.3,5
39072,Share-O4w8Dt,376.0,15
39073,Share-KAjG5p,454.6,10
39074,Share-YqZnQr,431.0,4
39075,Share-v0B2H5,293.9,19
39076,Share-NDdOqk,756.2,3
39077,Share-P2N08e,617.6,5
39078,Share-eAtSIv,426.4,12
39079,Share-gr7TAw,721.7,5
39080,Share-9cnzFi,657.5,18
39081,Share-QKpTSW,894.1,8
39082,Share-SdZP1S,964.7,12
39083,Share-NZeuUI,16.5,15
39084,Share-BSAU4P,953.0,7
39085,Share-Q3XRPc,933.2,3
39086,Share-jNs4v5,162.3,9
39087,Share-88NC4n,345.8,5
39088,Share-14BmMb,115.5,16
39089,Share-dV9WSA,282.1,14
39090,Share-042bDL,471.9,17
39091,Share-rmfKaS,154.0,13
39092,Share-ccTg99,6.7,7
39093,Share-6IJkD0,239.9,14
39094,Share-pymm8v,34.0,17
39095,Share-mS7Vtc,246.5,7
39096,Share-Uas9xT,5.7,6
39097,Share-6Pe8Rr,101.5,5
39098,Share-yDO3r5,41.4,6
39099,Share-w3YvqB,565.9,11
39100,Share-MsqrXN,145.3,2
39101,Share-j4nnIe,763.8,8
39102,Share-ZTdObb,195.4,17
39103,Share-fok1Nd,741.5,19
39104,Share-tjjbHV,314.2,13
39105,Share-LgAA9P,200.9,5
39106,Share-L9cXuo,328.9,13
39107,Share-pUwMzK,686.1,10
39108,Share-dal6w9,635.1,13
39109,Share-C1pVci,279.1,14
39110,Share-DQobwp,14.9,17
39111,Share-w5g6tZ,812.0,14
39112,Share-KVEba3,850.5,13
39113,Share-2p9z3R,153.6,19
39114,Share-8IC3Io,182.8,3
39115,Share-PF4kXr,306.4,10
39116,Share-1kxJ0b,649.1,15
39117,Share-eP1ejX,258.7,12
39118,Share-cDay7W,997.2,17
39119,Share-BtQHJa,763.6,5
39120,Share-bIL4eO,759.4,13
39121,Share-5x4smq,639.4,9
39122,Share-HdJjA8,26.4,15
39123,Share-bjGBMJ,454.1,13
39124,Share-zEmHV8,546.5,3
39125,Share-rUOTQH,605.6,18
39126,Share-nfzOqO,688.7,1
39127,Share-xHKIvq,536.8,15
39128,Share-R5M2vl,583.5,10
39129,Share-mxnXPw,956.9,7
39130,Share-71ZV4f,383.1,6
39131,Share-1yE7Cx,194.2,1
39132,Share-aouMkT,153.0,19
39133,Share-MOzNVf,715.6,5
39134,Share-k4yMSy,811.5,12
39135,Share-EajNCh,645.3,8
39136,Share-eqwFqC,607.2,17
39137,Share-sKBiNg,370.5,8
39138,Share-Q0oLSD,924.1,5
39139,Share-axdbWv,204.2,4
39140,Share-xMIcTF,645.1,12
39141,Share-C2JQuD,112.0,16
39142,Share-hvBBjs,530.0,8
39143,Share-DvTPEG,757.3,15
39144,Share-hGeO1x,690.8,17
39145,Share-6pDVac,480.9,12
39146,Share-xoTXkr,386.4,7
39147,Share-StzkLk,820.4,11
39148,Share-Sz8eoF,493.0,14
39149,Share-toA7uD,121.7,14
39150,Share-a7JHlg,600.2,3
39151,Share-gVhOTh,865.5,3
39152,Share-qUBQj0,411.6,18
39153,Share-GA2dzY,895.3,13
39154,Share-YOHJPt,885.3,19
39155,Share-EJ540i,99.8,14
39156,Share-Hknr4w,548.3,10
39157,Share-RNH1TS,337.8,14
39158,Share-auCeSc,984.1,9
39159,Share-unAxjB,829.6,8
39160,Share-Yd4asJ,772.1,14
39161,Share-8b3TQy,671.3,3
39162,Share-LAux2E,363.9,16
39163,Share-LDVKLt,516.4,13
39164,Share-JpVASX,1.5,17
39165,Share-X1qPUz,920.9,14
39166,Share-0yTebG,23.5,1
39167,Share-w0wRBM,472.3,16
39168,Share-FhQ0hs,613.6,13
39169,Share-oRtH0g,887.1,12
39170,Share-pYgtZP,153.6,11
39171,Share-1Clbqt,479.9,14
39172,Share-PV07Yy,463.2,14
39173,Share-YFxvvN,604.9,1
39174,Share-4ofcqL,772.6,9
39175,Share-kdF9Un,329.0,9
39176,Share-xozv4s,55.3,19
39177,Share-vxHkk2,401.9,9
39178,Share-DqRknp,274.0,16
39179,Share-HdWV6J,637.1,6
39180,Share-vA3rpX,330.4,6
39181,Share-9xLSS9,563.0,2
39182,Share-WQIDMv,332.2,2
39183,Share-fgBJRw,950.1,15
39184,Share-cJOBbJ,649.9,9
39185,Share-KAJ84o,598.1,1
39186,Share-Ibtfl2,315.2,1
39187,Share-lXTNvW,561.0,10
39188,Share-Z2XcIJ,919.0,6
39189,Share-CsxPYM,229.8,8
39190,Share-OpAfph,876.3,15
39191,Share-fwXJWC,30.9,3
39192,Share-Lzmn6Z,654.4,3
39193,Share-EWswtM,307.5,1
39194,Share-ePmetL,139.7,5
39195,Share-aDFhkx,59.6,12
39196,Share-e0NiVI,181.6,13
39197,Share-iNyjVN,623.6,3
39198,Share-COc5ST,972.6,19
39199,Share-j8flzX,323.4,17
39200,Share-rMtI6t,438.3,9
39201,Share-lzpENW,181.5,14
39202,Share-UncURr,487.7,6
39203,Share-CfihAq,29.9,13
39204,Share-9tZSaM,94.2,18
39205,Share-ChDZso,523.7,12
39206,Share-4GxlDi,781.1,11
39207,Share-ZQ7FAu,715.7,19
39208,Share-92OuuI,351.8,12
39209,Share-j4NvXn,346.2,2
39210,Share-zwZKZu,512.3,10
39211,Share-9loIH0,496.9,2
39212,Share-ZLpc7A,912.2,10
39213,Share-OrMbWM,597.0,18
39214,Share-reLOgr,337.7,19
39215,Share-opUxWU,126.0,5
39216,Share-ogxpVT,954.6,12
39217,Share-Fouh8P,375.1,4
39218,Share-Pv12b3,708.9,7
39219,Share-WqrM8S,423.5,11
39220,Share-efoqMK,740.5,15
39221,Share-h38kWD,946.3,4
39222,Share-XtmkGp,333.2,3
39223,Share-f5DMmB,206.9,13
39224,Share-3qBSJy,737.9,17
39225,Share-OdYwM3,30.9,2
39226,Share-rVkUZW,278.7,9
39227,Share-29W0FC,844.4,10
39228,Share-Oz40Pr,933.2,7
39229,Share-KfyVG7,502.6,1
39230,Share-2PmeeM,358.4,1
39231,Share-acPXbv,863.8,13
39232,Share-3649ff,794.7,18
39233,Share-8XJu9Z,676.2,4
39234,Share-32TpRV,130.3,10
39235,Share-wXuheL,617.9,14
39236,Share-y3fKnU,773.4,13
39237,Share-cOnOON,446.3,12
39238,Share-T3oslF,659.5,14
39239,Share-FRQEeZ,917.4,7
39240,Share-fKEZPZ,751.1,7
39241,Share-fdhzFw,727.2,14
39242,Share-jSW4Zd,49.8,12
39243,Share-Ckmush,240.1,14
39244,Share-LVRJLh,523.0,6
39245,Share-eARjZa,139.4,14
39246,Share-L7EeUM,135.4,9
39247,Share-GaCs60,889.2,17
39248,Share-Uy0X0h,846.1,8
39249,Share-UslUXz,435.2,4
39250,Share-kOeJpi,260.5,15
39251,Share-50Inxh,566.9,2
39252,Share-AfqZIL,205.4,3
39253,Share-zji3Kt,822.2,13
39254,Share-V0us62,363.5,18
39255,Share-mVIXL1,993.2,11
39256,Share-P7eIHv,5.3,11
39257,Share-hR7Hcr,830.7,11
39258,Share-Qa5q4h,3.4,18
39259,Share-Ymt6cO,619.0,6
39260,Share-GtOvyZ,887.2,8
39261,Share-MGn2hw,191.0,8
39262,Share-dWKphp,880.9,3
39263,Share-NIFWqh,517.9,19
39264,Share-uEO2qY,200.3,13
39265,Share-BrvtDp,653.1,14
39266,Share-I0yDea,18.5,18
39267,Share-8N1gPo,648.0,10
39268,Share-zaPMYx,506.3,5
39269,Share-6uZzcE,292.9,19
39270,Share-M43QkE,761.8,15
39271,Share-NilhBQ,35.0,15
39272,Share-LJmGcW,91.5,19
39273,Share-WGTXNs,79.5,2
39274,Share-wZEHN4,793.5,8
39275,Share-KBdNLd,114.5,16
39276,Share-u53y9D,875.1,10
39277,Share-635KRA,59.8,8
39278,Share-1ySuUO,761.5,17
39279,Share-s8PQMV,585.4,7
39280,Share-51hY0Z,959.5,4
39281,Share-lT7I0Z,525.7,8
39282,Share-YslFuC,717.4,7
39283,Share-JSeRBT,161.0,12
39284,Share-fbOE2R,529.2,12
39285,Share-34Ips4,652.8,6
39286,Share-VNf9zM,833.0,4
39287,Share-Dk5zSc,250.6,17
39288,Share-xT4zM6,193.2,17
39289,Share-PteoNC,299.1,7
39290,Share-E52Z5G,31.9,1
39291,Share-xlH84y,646.5,11
39292,Share-RPUYYw,780.1,6
39293,Share-qlagS9,522.8,7
39294,Share-jqYAUX,65.2,11
39295,Share-pKwvOr,463.2,9
39296,Share-H7TWtZ,889.3,6
39297,Share-T8NB7X,885.5,14
39298,Share-FwrMWe,734.2,9
39299,Share-2PHPMG,286.0,1
39300,Share-cNKwyG,195.3,1
39301,Share-ToiQ7Q,840.7,5
39302,Share-6yKptp,122.4,10
39303,Share-bYINUK,287.3,1
39304,Share-1nEZbQ,772.2,6
39305,Share-0YjxqN,117.4,16
39306,Share-nwVcRU,788.4,9
39307,Share-6wGU0D,420.2,2
39308,Share-aVmpNz,150.0,8
39309,Share-db4Zoz,531.3,8
39310,Share-5hBHE4,778.6,5
39311,Share-cTgpui,628.9,15
39312,Share-MqQxvQ,708.6,17
39313,Share-CcuEva,274.0,6
39314,Share-WVQVNi,577.5,1
39315,Share-I9oEI7,757.5,12
39316,Share-qoLnn7,204.7,18
39317,Share-pINLHP,477.5,5
39318,Share-LicXJC,514.1,12
39319,Share-9AOC9e,162.6,8
39320,Share-GRc91J,632.2,7
39321,Share-SrdTuz,755.5,1
39322,Share-pmjgfK,808.2,6
39323,Share-MrgI6o,763.2,6
39324,Share-9Pq2r0,667.4,8
39325,Share-DIWzjB,910.1,17
39326,Share-7y3RdS,772.1,18
39327,Share-h1fnCA,828.0,3
39328,Share-CWnMzh,235.0,13
39329,Share-w3KV0Q,580.1,4
39330,Share-QJy78d,476.4,9
39331,Share-ODrWpH,38.8,13
39332,Share-zHhc3T,836.6,18
39333,Share-yBr06F,172.9,3
39334,Share-Zbyx4c,848.3,11
39335,Share-Jpvtj6,85.1,16
39336,Share-VuGX08,415.8,17
39337,Share-QRWimW,23.0,12
39338,Share-cpcE06,356.4,14
39339,Share-jZrWks,953.8,15
39340,Share-UYu7Ue,571.5,15
39341,Share-3OlXth,602.2,7
39342,Share-0eZB5O,358.7,2
39343,Share-CmeYYv,233.9,2
39344,Share-jlBjoQ,953.3,2
39345,Share-BPzl9v,826.3,6
39346,Share-yKwhsc,212.8,6
39347,Share-I7zz6h,984.3,7
39348,Share-aU11LJ,480.3,15
39349,Share-KQbE5P,214.9,1
39350,Share-XEiFV1,631.9,10
39351,Share-LGwZ0c,119.4,6
39352,Share-Yv4m0z,147.1,15
39353,Share-iRjQTT,480.0,7
39354,Share-V9xqGM,541.6,3
39355,Share-shDHZI,799.9,8
39356,Share-ehLPAn,309.8,7
39357,Share-pLPn7a,81.1,6
39358,Share-AgRvGZ,117.8,5
39359,Share-3PZoRn,319.0,1
39360,Share-cY3YHz,124.0,12
39361,Share-W7RlMT,913.0,10
39362,Share-bPNVb4,946.0,7
39363,Share-xcLQCQ,739.0,15
39364,Share-P7kvmn,797.0,19
39365,Share-wxGqHl,330.9,14
39366,Share-3HUkYb,557.3,12
39367,Share-QjrlIm,733.9,5
39368,Share-psRev6,499.6,4
39369,Share-qW8K3Z,369.0,15
39370,Share-ZuBDE8,19.3,6
39371,Share-fhQGnD,683.4,4
39372,Share-92CUue,830.3,1
39373,Share-WzMYWa,353.6,3
39374,Share-REEQ4i,270.3,9
39375,Share-zYptHH,462.2,6
39376,Share-L5L4bM,396.6,12
39377,Share-L8jqkR,965.6,2
39378,Share-VwvwsP,456.6,14
39379,Share-HplFDU,24.4,12
39380,Share-XIAWNC,308.1,3
39381,Share-36bCdm,891.8,3
39382,Share-mlJGVE,968.4,10
39383,Share-NcIfJf,453.4,15
39384,Share-xd0qHI,493.7,19
39385,Share-123iop,272.4,6
39386,Share-NKuf1k,493.2,10
39387,Share-exyFZ0,34.5,11
39388,Share-S6HAfT,528.5,14
39389,Share-L1ILit,441.8,5
39390,Share-6vg4Vg,35.4,17
39391,Share-l0htOA,697.5,11
39392,Share-0jsWuj,561.9,13
39393,Share-FkRWFt,760.8,2
39394,Share-kOS8VZ,792.7,12
39395,Share-kjiCI4,872.8,4
39396,Share-s7Ja0L,721.7,17
39397,Share-HJoPTr,454.6,3
39398,Share-Mp3pzZ,576.3,6
39399,Share-zmhG7P,729.7,6
39400,Share-BXoBmZ,642.5,13
39401,Share-ZrA3la,798.1,5
39402,Share-83yW72,200.6,17
39403,Share-CXNoYM,334.5,9
39404,Share-Aj0tnR,143.8,3
39405,Share-X8XiYz,190.6,1
39406,Share-tqHbrU,902.1,5
39407,Share-WlO1YX,106.9,4
39408,Share-iJMQuu,218.7,5
39409,Share-79AWx3,10.0,17
39410,Share-qXvsXG,270.6,14
39411,Share-4tWAPg,48.0,7
39412,Share-1FhjeU,88.3,6
39413,Share-4j2lUy,94.2,17
39414,Share-MDIDMp,790.7,13
39415,Share-0oHOsu,303.9,3
39416,Share-YxRC9l,115.2,11
39417,Share-4BB4c7,728.7,16
39418,Share-kyCLFH,154.2,15
39419,Share-40hP7Z,391.9,6
39420,Share-CEmUa8,947.9,9
39421,Share-aJrC0q,995.5,3
39422,Share-WJTG2e,445.9,2
39423,Share-NSKZ2T,36.9,16
39424,Share-uqHrih,543.4,11
39425,Share-xagQHF,514.4,2
39426,Share-9PEFYK,77.0,1
39427,Share-JwSE65,19.6,4
39428,Share-0KKMaC,232.3,15
39429,Share-Mk88m7,137.7,17
39430,Share-ZAgxmV,974.0,1
39431,Share-A7cGBc,997.4,4
39432,Share-stK19s,378.7,17
39433,Share-uxztRf,711.9,11
39434,Share-ocIUHu,400.3,14
39435,Share-Q0JCpZ,346.8,17
39436,Share-LpSahF,460.7,1
39437,Share-vzVCFL,489.7,9
39438,Share-sC3AYc,929.3,19
39439,Share-hOiUUM,227.4,7
39440,Share-N0ZjPl,237.0,5
39441,Share-hoeAPW,594.8,2
39442,Share-6CeDTH,213.0,2
39443,Share-PZ38Lb,185.4,14
39444,Share-MLoQR5,887.1,5
39445,Share-0JJN9u,329.9,1
39446,Share-mWyc1Q,89.9,2
39447,Share-9hICRE,132.6,19
39448,Share-6zd5oq,863.0,5
39449,Share-Ktt3XX,324.1,10
39450,Share-Rlgpus,131.3,16
39451,Share-h4vitj,661.3,10
39452,Share-DuQjWO,883.8,13
39453,Share-ktncVu,820.5,9
39454,Share-zbi4lJ,349.9,1
39455,Share-wgnZbo,370.1,13
39456,Share-tm5AQJ,817.8,10
39457,Share-G7GE3v,194.5,2
39458,Share-h5b5ka,825.2,6
39459,Share-KeRuyD,90.6,1
39460,Share-kN0rj1,82.7,16
39461,Share-hHl76K,159.7,5
39462,Share-y94q6H,651.2,19
39463,Share-GmA4WM,388.0,10
39464,Share-YvNdRU,692.2,4
39465,Share-4ZWvKX,19.3,9
39466,Share-LnB4cG,397.4,19
39467,Share-lcqp9w,606.5,4
39468,Share-uINorl,19.5,17
39469,Share-LD1WpW,376.5,17
39470,Share-TP6q9d,321.8,15
39471,Share-f7toP6,181.5,16
39472,Share-y7Yq21,604.2,6
39473,Share-l30JeJ,731.8,10
39474,Share-zGtx8f,659.5,1
39475,Share-vnkp06,339.8,11
39476,Share-aF2Grl,782.8,14
39477,Share-0cpDvf,957.0,3
39478,Share-Nl9fTX,772.0,18
39479,Share-vhKniS,544.9,7
39480,Share-Q5SKGb,678.2,6
39481,Share-DFJOAb,25.6,13
39482,Share-cNLv0o,753.3,18
39483,Share-9lbWLH,870.3,11
39484,Share-kpxwt2,909.7,16
39485,Share-UJN9F3,779.9,19
39486,Share-cwX1CT,753.4,8
39487,Share-kDiWvX,581.1,17
39488,Share-FZo2DC,719.7,8
39489,Share-Kuua3C,477.9,11
39490,Share-PZq6Id,767.0,8
39491,Share-NTNNdO,198.7,5
39492,Share-IH8aQO,274.1,11
39493,Share-yYFvvy,462.7,12
39494,Share-AefOiL,968.6,14
39495,Share-GhPyIH,771.2,14
39496,Share-QMo5g6,696.7,2
39497,Share-O27yNl,454.5,1
39498,Share-LChgD8,156.8,1
39499,Share-9Ttbo9,40.2,10
39500,Share-szLszV,563.2,11
39501,Share-qu7alC,643.8,18
39502,Share-lt6OeR,519.4,17
39503,Share-xdU7Oq,116.3,6
39504,Share-lrOcWq,889.1,9
39505,Share-dd1RrQ,128.9,6
39506,Share-VTefse,176.9,2
39507,Share-btEvRA,881.2,14
39508,Share-ABYuBt,720.9,2
39509,Share-iJljzM,574.5,6
39510,Share-iiCoCp,11.8,18
39511,Share-3QTPWl,315.0,1
39512,Share-BJ86Lh,620.2,12
39513,Share-pxG25F,146.1,13
39514,Share-xanI9s,590.4,12
39515,Share-xxt6bc,576.5,17
39516,Share-NQpXRy,55.5,8
39517,Share-8fzWhP,612.1,18
39518,Share-d40rfu,936.2,11
39519,Share-1p6lrO,676.6,3
39520,Share-GVb88D,781.4,3
39521,Share-WUjEa3,839.1,19
39522,Share-YnVkpy,781.4,17
39523,Share-aLtfVT,677.1,1
39524,Share-xMnaHL,545.2,17
39525,Share-0hczxs,753.8,1
39526,Share-o9SMr4,716.8,18
39527,Share-ZhRKlq,797.8,9
39528,Share-s1K7vB,389.1,2
39529,Share-jCupBm,400.0,14
39530,Share-Ct5bhp,432.9,4
39531,Share-ADzkqk,171.2,8
39532,Share-M4a3I0,586.7,12
39533,Share-6yDSaC,306.6,14
39534,Share-e6WvRk,376.5,18
39535,Share-zYO0fQ,111.7,17
39536,Share-JdDJ0o,750.7,4
39537,Share-Lfwr2K,82.7,12
39538,Share-cNLOwZ,77.9,17
39539,Share-W3wfv1,270.6,16
39540,Share-HfHNG7,832.5,4
39541,Share-KQniQp,725.9,15
39542,Share-kSGVNk,996.5,5
